City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.17,75,66,17.2,TF,1695796869
1,carutapera,-1.195,-46.02,25.39,84,32,3.04,BR,1695796869
2,sao joao da barra,-21.6403,-41.0511,22.82,88,94,4.52,BR,1695796869
3,adamstown,-25.066,-130.1015,20.97,71,100,6.96,PN,1695796869
4,ribeira grande,38.5167,-28.7,19.32,82,40,3.09,PT,1695796869
5,sitka,57.0531,-135.33,12.94,82,100,2.06,US,1695796870
6,isafjordur,66.0755,-23.124,4.36,95,100,14.01,IS,1695796870
7,peachtree city,33.3968,-84.5958,21.94,92,100,1.54,US,1695796870
8,gombi,10.1614,12.7399,26.07,70,20,2.39,NG,1695796870
9,braintree,51.8782,0.5529,15.65,94,100,1.34,GB,1695796870
10,la ronge,55.1001,-105.2842,19.14,59,75,7.72,CA,1695796871
11,lebu,-37.6167,-73.65,6.72,82,6,3.98,CL,1695796871
12,vershino-darasunskiy,52.35,115.5167,13.09,38,99,3.71,RU,1695796871
13,wailua homesteads,22.0669,-159.378,26.24,76,20,7.2,US,1695796871
14,walvis bay,-22.9575,14.5053,24.53,22,0,2.57,NA,1695796871
15,brezina,33.0989,1.2608,21.17,29,5,1.99,DZ,1695796872
16,boende,-0.2167,20.8667,28.79,63,22,1.28,CD,1695796872
17,bredasdorp,-34.5322,20.0403,14.99,69,5,3.38,ZA,1695796872
18,solnechnyy,50.7214,136.6319,14.19,87,100,2.55,RU,1695796872
19,bilibino,68.0546,166.4372,-1.06,98,100,3.27,RU,1695796872
20,kangding,30.0513,101.9603,16.63,88,94,2.57,CN,1695796873
21,edinburgh of the seven seas,-37.0676,-12.3116,12.04,68,27,11.85,SH,1695796873
22,thinadhoo,0.5333,72.9333,28.17,72,31,5.68,MV,1695796873
23,baruun-urt,46.6806,113.2792,11.33,49,97,5.72,MN,1695796873
24,hawaiian paradise park,19.5933,-154.9731,23.74,90,75,2.06,US,1695796873
25,badger,64.8,-147.5333,2.93,83,75,2.57,US,1695796873
26,kampung tanjung karang,3.4242,101.1849,30.83,64,72,5.73,MY,1695796874
27,albany,42.6001,-73.9662,9.2,93,21,0.89,US,1695796874
28,mildura,-34.2,142.15,21.71,39,0,7.8,AU,1695796874
29,lazaro cardenas,17.9583,-102.2,26.56,85,16,2.12,MX,1695796874
30,sinan,34.8262,126.1086,25.06,84,7,4.05,KR,1695796874
31,buala,-8.145,159.5921,27.67,80,100,4.79,SB,1695796875
32,port mathurin,-19.6833,63.4167,22.89,71,7,9.05,MU,1695796875
33,hammerfest,70.6634,23.6821,10.25,93,75,3.6,NO,1695796875
34,steti,50.453,14.3742,20.44,100,7,1.72,CZ,1695796875
35,yuzhno-kurilsk,44.0306,145.8556,16.54,84,45,2.35,RU,1695796875
36,tiksi,71.6872,128.8694,0.41,60,7,9.48,RU,1695796875
37,luderitz,-26.6481,15.1594,20.36,35,0,2.97,NA,1695796876
38,saipan,15.1355,145.701,29.39,79,75,3.09,MP,1695796876
39,iqaluit,63.7506,-68.5145,4.85,70,100,10.8,CA,1695796876
40,invercargill,-46.4,168.35,7.79,91,23,4.02,NZ,1695796876
41,college,64.8569,-147.8028,2.97,81,75,2.57,US,1695796876
42,darlowo,54.421,16.4107,17.97,83,78,4.27,PL,1695796876
43,juneau,58.3019,-134.4197,10.61,97,100,0.0,US,1695796877
44,wau,7.7029,27.9953,24.06,86,100,1.61,SS,1695796877
45,utrik,11.2278,169.8474,28.65,74,100,5.07,MH,1695796877
46,polyarnyy,69.1989,33.4478,10.8,83,100,7.97,RU,1695796877
47,anahuac,27.2333,-100.15,28.12,60,2,4.64,MX,1695796877
48,bethel,41.3712,-73.414,10.17,83,0,0.0,US,1695796878
49,yen vinh,18.6667,105.6667,28.07,82,100,2.12,VN,1695796878
50,ilulissat,69.2167,-51.1,0.01,55,100,10.29,GL,1695796878
51,saint-joseph,-21.3667,55.6167,26.37,63,0,5.95,RE,1695796878
52,udachny,66.4167,112.4,3.03,80,100,9.27,RU,1695796878
53,shanhaiguan,39.9988,119.7564,23.34,55,100,2.54,CN,1695796879
54,karratha,-20.7377,116.8463,34.45,27,2,7.15,AU,1695796879
55,puerto natales,-51.7236,-72.4875,2.79,96,100,0.75,CL,1695796879
56,ushuaia,-54.8,-68.3,0.81,69,75,4.12,AR,1695796879
57,kyzylorda,44.8528,65.5092,25.01,25,0,4.0,KZ,1695796879
58,vallenar,-28.5708,-70.7581,12.9,57,0,0.71,CL,1695796879
59,waitangi,-43.9535,-176.5597,12.12,91,100,3.13,NZ,1695796880
60,fort mcmurray,56.7268,-111.381,13.77,71,100,3.6,CA,1695796880
61,blackmans bay,-43.0167,147.3167,16.07,57,100,3.77,AU,1695796880
62,hermanus,-34.4187,19.2345,14.61,70,0,5.64,ZA,1695796880
63,machico,32.7,-16.7667,22.06,81,20,1.03,PT,1695796880
64,whitehorse,60.7161,-135.0538,5.45,93,100,1.54,CA,1695796880
65,huarmey,-10.0681,-78.1522,18.16,87,100,2.68,PE,1695796881
66,mejit,10.2753,170.8646,28.4,77,100,2.98,MH,1695796881
67,papatowai,-46.5619,169.4708,7.25,89,100,4.16,NZ,1695796881
68,grytviken,-54.2811,-36.5092,-2.63,75,13,2.76,GS,1695796881
69,faya-largeau,17.9257,19.1043,34.36,9,0,6.38,TD,1695796881
70,wake forest,35.9799,-78.5097,18.36,89,100,0.45,US,1695796825
71,kapa'a,22.0752,-159.319,26.99,76,20,7.2,US,1695796882
72,olonkinbyen,70.9221,-8.7187,3.74,97,100,9.85,SJ,1695796882
73,sittwe,20.15,92.9,29.96,74,83,4.49,MM,1695796862
74,talnakh,69.4865,88.3972,1.23,75,100,6.22,RU,1695796882
75,arraial do cabo,-22.9661,-42.0278,21.28,95,89,6.34,BR,1695796882
76,georgetown,5.4112,100.3354,31.96,95,20,6.17,MY,1695796882
77,port elizabeth,-33.918,25.5701,16.84,65,75,6.17,ZA,1695796883
78,thompson,55.7435,-97.8558,16.09,77,0,2.06,CA,1695796883
79,longyearbyen,78.2186,15.6401,-8.09,73,20,4.12,SJ,1695796883
80,acapulco de juarez,16.8634,-99.8901,27.9,89,20,2.06,MX,1695796883
81,darwin,-12.4611,130.8418,31.99,51,0,5.66,AU,1695796883
82,yellowknife,62.456,-114.3525,10.23,100,100,1.54,CA,1695796867
83,fort st. john,56.2499,-120.8529,9.94,62,40,4.12,CA,1695796884
84,kodiak,57.79,-152.4072,7.73,46,100,4.22,US,1695796884
85,pandan,14.0453,124.1694,29.81,68,2,3.68,PH,1695796884
86,kerikeri,-35.2268,173.9474,14.95,84,36,3.7,NZ,1695796884
87,hami,42.8,93.45,21.95,22,8,5.19,CN,1695796758
88,kas,36.2018,29.6377,30.17,43,0,2.43,TR,1695796884
89,yanam,16.7333,82.2167,31.2,72,45,2.05,IN,1695796885
90,santa cruz,-17.8,-63.1667,24.7,73,100,7.2,BO,1695796774
91,avarua,-21.2078,-159.775,22.03,83,75,7.72,CK,1695796885
92,stanley,54.868,-1.6985,9.84,92,0,1.54,GB,1695796885
93,severo-yeniseyskiy,60.3725,93.0408,9.39,51,5,5.5,RU,1695796885
94,vila franca do campo,37.7167,-25.4333,20.23,91,83,0.44,PT,1695796885
95,fiditi,7.7136,3.9172,23.47,95,100,1.84,NG,1695796886
96,margate,51.3813,1.3862,16.61,95,100,0.89,GB,1695796886
97,salamanca,40.8333,-6.0,16.46,50,63,2.22,ES,1695796616
98,sisimiut,66.9395,-53.6735,0.71,86,100,5.13,GL,1695796886
